"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033542.14",25.2695727166905,-2.99674106314149,0.384367821546356,-7.79654511942559,6.3625079599548e-15,4.68293543934853e-13
"ENSMUSG00000004100.13",144.162128218697,3.94828862873982,0.506429312944277,7.79632720267568,6.37349959555553e-15,4.68293543934853e-13
"ENSMUSG00000044141.9",3.50742259749819,-4.60198268669862,0.590724235286224,-7.79040779403408,6.67932682247147e-15,4.89748156144569e-13
"ENSMUSG00000028211.12",159.435842401096,-2.21189386247615,0.284783804173042,-7.76692294317465,8.04157307388215e-15,5.88413864486645e-13
"ENSMUSG00000026039.10",27.4634132414839,-2.78047074728203,0.358131283848784,-7.76383095439395,8.24017125411307e-15,6.01702401988484e-13
"ENSMUSG00000112711.2",93.2408431800345,1.7628960286547,0.227299253676721,7.75583729439781,8.77624867965283e-15,6.39528491748775e-13
"ENSMUSG00000040021.14",25.6599120679753,2.84008774802513,0.366283103718133,7.7538049645082,8.91792608907013e-15,6.4851817750394e-13
"ENSMUSG00000025916.11",23.584220874846,1.62241135253067,0.209291852610852,7.75190879287265,9.05214014143785e-15,6.56929391616847e-13
"ENSMUSG00000025528.11",2.8811143747484,-4.6980978181765,0.606134984274694,-7.75091017687798,9.12362088068502e-15,6.60762849671697e-13
"ENSMUSG00000043727.6",11.1861888303756,-3.3394923801018,0.430948814450471,-7.74916247155754,9.25006048120326e-15,6.68552840697578e-13
"ENSMUSG00000073676.5",6.83385566987784,-2.9151277214424,0.376358712985037,-7.74560976235004,9.51242392405386e-15,6.86115057577124e-13
"ENSMUSG00000022146.13",56.6932677377501,-2.46769562428654,0.319071604758479,-7.73398694050025,1.04229730770893e-14,7.50263397408779e-13
"ENSMUSG00000104429.2",42.1440142592225,2.22980022877049,0.288375497552363,7.73228047353643,1.0563688397003e-14,7.58849948437853e-13
"ENSMUSG00000038816.15",387.380976718162,-2.08938846850551,0.270496472057694,-7.72427252973511,1.12493931409403e-14,8.06472182361137e-13
"ENSMUSG00000035357.18",33.2516512045706,-3.63733464393932,0.471038960672636,-7.72194011031542,1.14572228061671e-14,8.19712213495776e-13
"ENSMUSG00000047264.9",23.3263604969484,-2.54555554419573,0.329689127982821,-7.72107821622912,1.15349738589763e-14,8.23611087128319e-13
"ENSMUSG00000024176.11",63.1280337884308,-1.82521486221345,0.236753879014156,-7.70933456217758,1.26475456258255e-14,9.01233055007266e-13
"ENSMUSG00000071767.5",32.0837455730317,-3.05125264682897,0.395952972472667,-7.70609859997856,1.29722416379011e-14,9.22513930936284e-13
"ENSMUSG00000001127.13",79.382433444577,-3.90402028988701,0.507029187619086,-7.69979398665302,1.36285774024088e-14,9.67246630673961e-13
"ENSMUSG00000101471.2",5.74150832286731,-3.26854630309709,0.424657655433122,-7.69689716240579,1.39410004439212e-14,9.87441061442937e-13
"ENSMUSG00000051985.13",21.6507915196981,-2.87456523411459,0.37358800535528,-7.6944794610868,1.42071363617533e-14,1.00428290269759e-12
"ENSMUSG00000021235.14",41.0671221010885,-1.44786951218915,0.188483794305728,-7.68166577674392,1.57033095534902e-14,1.10783407935628e-12
"ENSMUSG00000085843.2",10.8983871796257,-2.98003245265722,0.388138434892928,-7.67775665782567,1.61898654426377e-14,1.13988883628432e-12
"ENSMUSG00000111766.2",21.7167492467761,-2.53535349401829,0.330293826979208,-7.67605473346584,1.64063049489224e-14,1.15283589239303e-12
"ENSMUSG00000086598.10",6.06669374460326,-3.125069829882,0.407339539004101,-7.67190397849039,1.69461797487888e-14,1.18841377386803e-12
"ENSMUSG00000028420.14",142.359922482981,-2.03627406490189,0.265614416928215,-7.66627839125244,1.77058669850595e-14,1.23923572979423e-12
"ENSMUSG00000027374.13",80.7177320110916,-2.46080017550621,0.321026581238362,-7.66540940632909,1.78261654684703e-14,1.24519457606682e-12
"ENSMUSG00000106392.2",17.3310145115643,-3.09304902400598,0.403585012037211,-7.66393431805836,1.80322137943122e-14,1.25710797544403e-12
"ENSMUSG00000027067.17",9.37193552311626,-3.29362650930527,0.430212244943265,-7.65581767608597,1.92086085208033e-14,1.33648894059774e-12
"ENSMUSG00000048310.9",55.8665969753229,-3.74326052813311,0.489073005351917,-7.65378683176268,1.95145665080617e-14,1.35511445663335e-12
"ENSMUSG00000001065.16",66.134072444743,2.62337586475788,0.343080700008093,7.6465270844323,2.0647998700492e-14,1.42935606550571e-12
